"CountryName","stayhome-CountryCode","stayhome-Date","Stay Home","stayhome-PolicyValue","stayhome-Flag","stayhome-Notes","stayhome-region","stayhome-value"
"Iran","IRN",20201203,"C6: Stay at home requirements",1,"National","no change since last update     https://web.archive.org/web/20201202120136/https://www.arabnews.com/node/1756581/middle-east    JEDDAH:: Mosques, schools, universities, beauty salons, cafes, gyms, museums, theaters and swimming pools in 25 of Iran’s 31 provinces were ordered to close for 10 days from next Wednesday.    In Tehran, the closure of beauty salons, teahouses, cinemas, libraries and fitness clubs has been extended for a week.     Police will make unannounced visits to other high-risk businesses, and any found to be breaking health rules will be shut down. Weddings, funeral gatherings and conferences in the capital have been banned.  ","iran","recommend not leaving house"
"Iraq","IRQ",20201124,"C6: Stay at home requirements",1,"National","No change:  https://web.archive.org/web/20201207205146/https://iq.usembassy.gov/covid-19-information/","iraq","recommend not leaving house"
"Iceland","ISL",20201130,"C6: Stay at home requirements",0,NA,"No policy change","iceland","no measures"
"Israel","ISR",20201203,"C6: Stay at home requirements",2,"Regional","The Minister of Health approved the following designations for restricted areas:  1. Designating Shefa-Amr as a restricted area for four days, effective tomorrow, 3.12.2020 at 17:00 until Monday 7.12.2020 at 17:00.   2. Extending Yafi and Umm al-Fahm's designation as restricted areas for three additional days, until Sunday, 6.12.2020 at 17:00.  3. Revoking Arraba's designation as a restricted area   Entry to the restricted areas is forbidden at all hours of the day, except for some conditions.  Source:  https://web.archive.org/web/20201207145712/https://www.gov.il/en/departments/news/02122020-01  https://web.archive.org/web/20201207144925/https://www.gov.il/en/departments/guides/ramzor-cites-guidelines?chapterIndex=4","israel","require not leaving house except for essentials"
"Italy","ITA",20201126,"C6: Stay at home requirements",2,"National","no change in policy","italy","require not leaving house except for essentials"
"Jamaica","JAM",20201110,"C6: Stay at home requirements",2,"National","'Is a curfew in place? Yes'  https://archive.vn/KxzaS  ","jamaica","require not leaving house except for essentials"
"Jordan","JOR",20201124,"C6: Stay at home requirements",2,"National","No updates  https://web.archive.org/web/20201208002726/https://jo.usembassy.gov/covid-19-information/","jordan","require not leaving house except for essentials"
"Japan","JPN",20201117,"C6: Stay at home requirements",1,"National","No policy changes. ","japan","recommend not leaving house"
"Kazakhstan","KAZ",20201203,"C6: Stay at home requirements",2,"Regional","Akmola region prohibits residents to go outside from 9 pm until 6 am.  Link: https://archive.vn/vm77W ","kazakhstan","require not leaving house except for essentials"
"Kenya","KEN",20201201,"C6: Stay at home requirements",2,"National","No change.  A curfew is in place from 10pm to 4am until January 3rd. During curfew hours all citizens must remain at home or indoors except for essential service workers.  Source: https://web.archive.org/web/20201207144926/https://www.gov.uk/foreign-travel-advice/kenya/coronavirus","kenya","require not leaving house except for essentials"
